advertisment_site,image,marka,gads,tilpums,tips,nobraukums,cena
/msg/lv/transport/cars/ford/s-max/bmkdom.html,https://i.ss.lv/gallery/7/1299/324691/64938137.th2.jpg,FordS-Max,2015,2.0,D,212000,6690
/msg/lv/transport/cars/renault/grandscenic/bndeom.html,https://i.ss.lv/gallery/7/1311/327664/65532718.th2.jpg,RenaultGrand Scenic,2013,1.5,D,235000,4500
/msg/lv/transport/cars/toyota/avensis/bldhbd.html,https://i.ss.lv/gallery/7/1315/328515/65702909.th2.jpg,ToyotaAvensis,2013,1.8,,128000,8700
/msg/lv/transport/cars/audi/q5/cddbon.html,https://i.ss.lv/gallery/7/1313/328043/65608581.th2.jpg,AudiQ5,2023,2.0,D,68000,49990
/msg/lv/transport/cars/opel/crossland-x/cdejxn.html,https://i.ss.lv/gallery/7/1313/328051/65610060.th2.jpg,OpelCrossland X,2022,1.5,D,32000,14290
/msg/lv/transport/cars/opel/another/meleo.html,https://i.ss.lv/gallery/7/1313/328051/65610060.th2.jpg,OpelCiti,2022,1.5,D,32000,14290
/msg/lv/transport/cars/subaru/outback/acmnd.html,https://i.ss.lv/gallery/7/1272/317895/63578844.th2.jpg,SubaruOUTBACK,2015,2.0,D,277000,12000
/msg/lv/transport/cars/bmw/330/cdmbbp.html,https://i.ss.lv/gallery/7/1315/328720/65743980.th2.jpg,Bmw330,2003,3.0,D,392000,1850
/msg/lv/transport/cars/bmw/118/cdhfgk.html,https://i.ss.lv/gallery/7/1315/328573/65714512.th2.jpg,Bmw118,2006,2.0,D,250000,2900
/msg/lv/transport/cars/bmw/330/cdxmce.html,https://i.ss.lv/gallery/7/1282/320421/64084070.th2.jpg,Bmw330,2018,2.0,,81000,20100
/msg/lv/transport/cars/toyota/corolla/bjelfc.html,https://i.ss.lv/gallery/7/1215/303683/60736410.th2.jpg,ToyotaCorolla,2023,1.8,H,75000,26990
/msg/lv/transport/cars/bmw/520/bgfxk.html,https://i.ss.lv/gallery/7/1319/329504/65900717.th2.jpg,Bmw520,2010,2.0,D,,9600
/msg/lv/transport/cars/volkswagen/golf-6/cdmxjd.html,https://i.ss.lv/gallery/7/1319/329504/65900606.th2.jpg,VolkswagenGolf 6,2010,1.2,,239000,2400
/msg/lv/transport/cars/audi/a4/bkgggd.html,https://i.ss.lv/gallery/7/1306/326348/65269589.th2.jpg,AudiA4,2008,2.0,D,264000,5150
